beat,stage,boundary,res0r,res0i,res1r,res1i
49,4,lower,x,x,x,x
49,5,upper,x,x,x,x
49,5,lower,x,x,x,x
49,6,upper,x,x,x,x
49,6,lower,x,x,x,x
49,7,upper,x,x,x,x
49,7,lower,x,x,x,x
49,8,upper,x,x,x,x
49,8,lower,x,x,x,x
50,1,upper,x,x,x,x
50,1,lower,x,x,x,x
50,2,upper,x,x,x,x
50,2,lower,x,x,x,x
50,3,upper,x,x,x,x
50,3,lower,x,x,x,x
50,4,upper,x,x,x,x
50,4,lower,x,x,x,x
50,5,upper,x,x,x,x
50,5,lower,x,x,x,x
50,6,upper,x,x,x,x
50,6,lower,x,x,x,x
50,7,upper,x,x,x,x
50,7,lower,x,x,x,x
50,8,upper,x,x,x,x
50,8,lower,x,x,x,x
51,1,upper,x,x,x,x
51,1,lower,x,x,x,x
51,2,upper,x,x,x,x
51,2,lower,x,x,x,x
51,3,upper,x,x,x,x
51,3,lower,x,x,x,x
51,4,upper,x,x,x,x
51,4,lower,x,x,x,x
51,5,upper,x,x,x,x
51,5,lower,x,x,x,x
51,6,upper,x,x,x,x
51,6,lower,x,x,x,x
51,7,upper,x,x,x,x
51,7,lower,x,x,x,x
51,8,upper,x,x,x,x
51,8,lower,x,x,x,x
52,1,upper,x,x,x,x
52,1,lower,x,x,x,x
52,2,upper,x,x,x,x
52,2,lower,x,x,x,x
52,3,upper,x,x,x,x
52,3,lower,x,x,x,x
52,4,upper,x,x,x,x
52,4,lower,x,x,x,x
52,5,upper,x,x,x,x
52,5,lower,x,x,x,x
52,6,upper,x,x,x,x
52,6,lower,x,x,x,x
52,7,upper,x,x,x,x
52,7,lower,x,x,x,x
52,8,upper,x,x,x,x
52,8,lower,x,x,x,x
53,1,upper,x,x,x,x
53,1,lower,x,x,x,x
53,2,upper,x,x,x,x
53,2,lower,x,x,x,x
53,3,upper,x,x,x,x
53,3,lower,x,x,x,x
53,4,upper,x,x,x,x
53,4,lower,x,x,x,x
53,5,upper,x,x,x,x
53,5,lower,x,x,x,x
53,6,upper,x,x,x,x
53,6,lower,x,x,x,x
53,7,upper,x,x,x,x
53,7,lower,x,x,x,x
53,8,upper,x,x,x,x
53,8,lower,x,x,x,x
54,1,upper,x,x,x,x
54,1,lower,x,x,x,x
54,2,upper,x,x,x,x
54,2,lower,x,x,x,x
54,3,upper,x,x,x,x
54,3,lower,x,x,x,x
54,4,upper,x,x,x,x
54,4,lower,x,x,x,x
54,5,upper,x,x,x,x
54,5,lower,x,x,x,x
54,6,upper,x,x,x,x
54,6,lower,x,x,x,x
54,7,upper,x,x,x,x
54,7,lower,x,x,x,x
54,8,upper,x,x,x,x
54,8,lower,x,x,x,x
55,1,upper,x,x,x,x
55,1,lower,x,x,x,x
55,2,upper,x,x,x,x
55,2,lower,x,x,x,x
55,3,upper,x,x,x,x
55,3,lower,x,x,x,x
55,4,upper,x,x,x,x
55,4,lower,x,x,x,x
55,5,upper,x,x,x,x
55,5,lower,x,x,x,x
55,6,upper,x,x,x,x
55,6,lower,x,x,x,x
55,7,upper,x,x,x,x
55,7,lower,x,x,x,x
55,8,upper,x,x,x,x
55,8,lower,x,x,x,x
56,1,upper,x,x,x,x
56,1,lower,x,x,x,x
56,2,upper,x,x,x,x
56,2,lower,x,x,x,x
56,3,upper,x,x,x,x
56,3,lower,x,x,x,x
56,4,upper,x,x,x,x
56,4,lower,x,x,x,x
56,5,upper,x,x,x,x
56,5,lower,x,x,x,x
56,6,upper,x,x,x,x
56,6,lower,x,x,x,x
56,7,upper,x,x,x,x
56,7,lower,x,x,x,x
56,8,upper,x,x,x,x
56,8,lower,x,x,x,x
57,1,upper,x,x,x,x
57,1,lower,x,x,x,x
57,2,upper,x,x,x,x
57,2,lower,x,x,x,x
57,3,upper,x,x,x,x
57,3,lower,x,x,x,x
57,4,upper,x,x,x,x
57,4,lower,x,x,x,x
57,5,upper,x,x,x,x
57,5,lower,x,x,x,x
57,6,upper,x,x,x,x
57,6,lower,x,x,x,x
57,7,upper,x,x,x,x
57,7,lower,x,x,x,x
