unit_id,hier_cell,ref_name,loc,bel,site,tile,grid_x,grid_y,stage_id,module_role,data_role,ecc_codeword_rule,ecc_symbol_rule,is_used,is_shared
111828,u/s7/u_apply/d0i[19]_INST_0,LUT5,SLICE_X63Y275,SLICEL.B6LUT,SLICE_X63Y275,CLBLM_R_X43Y275,183,550,,,,,,1,0
111829,u/s7/u_apply/d0i[19]_INST_0_i_1,CARRY4,SLICE_X59Y275,SLICEL.CARRY4,SLICE_X59Y275,CLBLM_L_X40Y275,171,550,,,,,,1,0
111830,u/s7/u_apply/d0i[19]_INST_0_i_10,LUT1,SLICE_X55Y275,SLICEL.A6LUT,SLICE_X55Y275,CLBLM_R_X37Y275,159,550,,,,,,1,0
111831,u/s7/u_apply/d0i[19]_INST_0_i_2,LUT6,SLICE_X59Y275,SLICEL.D6LUT,SLICE_X59Y275,CLBLM_L_X40Y275,171,550,,,,,,1,0
111832,u/s7/u_apply/d0i[19]_INST_0_i_3,LUT6,SLICE_X59Y275,SLICEL.C6LUT,SLICE_X59Y275,CLBLM_L_X40Y275,171,550,,,,,,1,0
111833,u/s7/u_apply/d0i[19]_INST_0_i_4,LUT6,SLICE_X59Y275,SLICEL.B6LUT,SLICE_X59Y275,CLBLM_L_X40Y275,171,550,,,,,,1,0
111834,u/s7/u_apply/d0i[19]_INST_0_i_5,LUT6,SLICE_X59Y275,SLICEL.A6LUT,SLICE_X59Y275,CLBLM_L_X40Y275,171,550,,,,,,1,0
111835,u/s7/u_apply/d0i[19]_INST_0_i_6,CARRY4,SLICE_X55Y275,SLICEL.CARRY4,SLICE_X55Y275,CLBLM_R_X37Y275,159,550,,,,,,1,0
111836,u/s7/u_apply/d0i[19]_INST_0_i_7,LUT1,SLICE_X55Y275,SLICEL.D6LUT,SLICE_X55Y275,CLBLM_R_X37Y275,159,550,,,,,,1,0
111837,u/s7/u_apply/d0i[19]_INST_0_i_8,LUT1,SLICE_X55Y275,SLICEL.C6LUT,SLICE_X55Y275,CLBLM_R_X37Y275,159,550,,,,,,1,0
111838,u/s7/u_apply/d0i[19]_INST_0_i_9,LUT1,SLICE_X55Y275,SLICEL.B6LUT,SLICE_X55Y275,CLBLM_R_X37Y275,159,550,,,,,,1,0
111839,u/s7/u_apply/d0i[1]_INST_0,LUT5,SLICE_X58Y269,SLICEM.A6LUT,SLICE_X58Y269,CLBLM_L_X40Y269,169,538,,,,,,1,0
111840,u/s7/u_apply/d0i[20]_INST_0,LUT5,SLICE_X63Y276,SLICEL.A6LUT,SLICE_X63Y276,CLBLM_R_X43Y276,183,552,,,,,,1,0
111841,u/s7/u_apply/d0i[21]_INST_0,LUT5,SLICE_X62Y276,SLICEM.A6LUT,SLICE_X62Y276,CLBLM_R_X43Y276,181,552,,,,,,1,0
111842,u/s7/u_apply/d0i[22]_INST_0,LUT5,SLICE_X61Y276,SLICEL.A6LUT,SLICE_X61Y276,CLBLM_L_X42Y276,179,552,,,,,,1,0
111843,u/s7/u_apply/d0i[23]_INST_0,LUT5,SLICE_X62Y276,SLICEM.B6LUT,SLICE_X62Y276,CLBLM_R_X43Y276,181,552,,,,,,1,0
111844,u/s7/u_apply/d0i[23]_INST_0_i_1,CARRY4,SLICE_X59Y276,SLICEL.CARRY4,SLICE_X59Y276,CLBLM_L_X40Y276,171,552,,,,,,1,0
111845,u/s7/u_apply/d0i[23]_INST_0_i_10,LUT1,SLICE_X55Y276,SLICEL.A6LUT,SLICE_X55Y276,CLBLM_R_X37Y276,159,552,,,,,,1,0
111846,u/s7/u_apply/d0i[23]_INST_0_i_2,LUT6,SLICE_X59Y276,SLICEL.D6LUT,SLICE_X59Y276,CLBLM_L_X40Y276,171,552,,,,,,1,0
111847,u/s7/u_apply/d0i[23]_INST_0_i_3,LUT6,SLICE_X59Y276,SLICEL.C6LUT,SLICE_X59Y276,CLBLM_L_X40Y276,171,552,,,,,,1,0
111848,u/s7/u_apply/d0i[23]_INST_0_i_4,LUT6,SLICE_X59Y276,SLICEL.B6LUT,SLICE_X59Y276,CLBLM_L_X40Y276,171,552,,,,,,1,0
111849,u/s7/u_apply/d0i[23]_INST_0_i_5,LUT6,SLICE_X59Y276,SLICEL.A6LUT,SLICE_X59Y276,CLBLM_L_X40Y276,171,552,,,,,,1,0
